   Ars-CR      Control      Ars-AR   
  AS-cytoplasm-totalRNA      "Fresh cells-totalRNA"      AS-aggresome-totalRNA    
 "length in nucleotide" "intensity 1" "intensity 2" "intensity 3" average bar  "intensity 1" "intensity 2" "intensity 3" average bar  "intensity 1" "intensity 2" "intensity 3" average bar
51 171864.106315894 20.5479453676112 20.5479453676112 22.5 21.1986302450741 1.12701926748253  42.2403879786449 37.9646096860556 43.2879377431907 41.1643118026304 2.8200904867415  27.3946902677698 40.5396149948305 37.6011423131842 35.1784825252615 6.89921893086719
52 203651.979418743 20.5479453676112 28.2404495311517 22.5 23.7627982995876 3.99870600764836  41.665661836729 46.978807641145 43.2879377431907 43.9774690736882 2.72286056869409  34.2433623416079 47.2962175750482 53.3079485959067 44.9491761708543 9.74659247001998
53 239756.761677267 41.6627570913246 49.3911133096558 34 41.6846234669935 7.69557995419804  28.6319876111987 40.2675493376656 34.5330739299611 34.4775369596085 5.81797966986069  27.3946902677698 47.2962175750482 32.8415040456925 35.8441372961702 10.2849186733898
54 280555.069381678 20.5479453676112 20.5479453676112 28 23.0319635784075 4.30244574802547  42.2403879786449 53.6900659446244 38.4241245136187 44.7848594789627 7.94468333891736  34.2433623416079 34.4520478995317 42.836744407425 37.1773848828549 4.90225969189501
55 326439.254307188 27.3972604901482 36.8846906260948 39 34.4273170387477 6.17939355796445  35.4090037003983 26.8450332139175 49.124513618677 37.1261835109976 11.2385649285379  34.2433623416079 33.7830124146129 37.125178486435 35.0505177475519 1.81139266861666
56 377817.403713982 21.6594359976264 36.8846906260948 28 28.8480422079071 7.64797203938525  28.6319876111987 54.1078937963477 59.8249027237354 47.5215947104273 16.6067453175322  34.9215145516091 40.5396149948305 32.3655402189434 35.9422232551277 4.18153791128663
57 435113.340347236 20.5479453676112 6.84931512253706 33.5 20.2990868300494 13.3270851666164  48.6099388928484 40.2675493376656 43.2879377431907 44.0551419912349 4.22378001809618  27.3946902677698 33.7830124146129 42.836744407425 34.6714823632692 7.75927143166545
58 498766.622437118 20.5479453676112 13.6986302450741 28 20.7488585375618 7.15280146468305  43.9194639919245 53.6900659446244 27.2373540856031 41.615628007384 13.3759947800846  43.3148081168861 33.7830124146129 37.125178486435 38.074333005978 4.83626436973261
59 569232.543698767 41.0958902420717 20.5479453676112 23 28.2146118698943 11.2226842758851  41.665661836729 36.1412319052352 37.9377431906615 38.5815456442086 2.81792347596436  54.7893800424353 47.2962175750482 37.6011423131842 46.5622466435559 8.61759328673148
60 646982.133332316 34.2465751195346 15.3155342448969 22.5 24.0207031214772 9.55669820790913  37.3960762871105 27.6712266875127 21.8871595330739 28.984820835899 7.83745953169236  34.9215145516091 33.7830124146129 32.3655402189434 33.6900223950551 1.28052198540848
